Date,NDX Close,QQQ Close,TQQQ Close,QQQ Return,Synthetic TQQQ Return,QQQ Source,TQQQ Source,NDX Classification
1938-01-03,2.24,0.047572377864224365,7.360946556590104e-05,,0.0,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-04,2.34,0.049696144733162945,8.331482793628623e-05,0.044642857142856984,0.13184937963849558,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-05,2.33,0.04948376804626909,8.224707022705413e-05,-0.004273504273504147,-0.012815938479147413,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-06,2.43,0.051607534915207684,9.267185595125052e-05,0.04291845493562252,0.12674963005268722,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-07,2.41,0.05118278154141996,9.039970668286271e-05,-0.008230452674897193,-0.02451822341383925,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-08,2.48,0.05266941834967697,9.81489644768173e-05,0.029045643153526868,0.08572215639084209,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-10,2.53,0.053731301784146264,0.00010398368078013361,0.02016129032258074,0.05944755845788297,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-11,2.55,0.05415605515793398,0.00010639622662491076,0.007905138339920903,0.023201196828936576,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-12,2.52,0.05351892509725241,0.00010267550493908835,-0.011764705882352788,-0.034970428969623976,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-13,2.49,0.05288179503657084,9.904237009915338e-05,-0.011904761904761751,-0.03538463085319473,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-14,2.49,0.05288179503657084,9.902479297548154e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-15,2.53,0.053731301784146264,0.00010371173409095291,0.016064257028112205,0.047330986257469385,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-17,2.48,0.05266941834967697,9.763172290346701e-05,-0.01976284584980237,-0.05862413969622612,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-18,2.46,0.052244664975889255,9.528587839652912e-05,-0.008064516129032251,-0.024027482432706797,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-19,2.44,0.05181991160210154,9.297792245399505e-05,-0.008130081300812941,-0.024221384966714957,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-20,2.48,0.05266941834967697,9.746917638849371e-05,0.016393442622950838,0.048304520212534736,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-21,2.44,0.05181991160210154,9.280259646948833e-05,-0.016129032258064502,-0.04787749411573235,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-22,2.43,0.051607534915207684,9.166131306229446e-05,-0.004098360655737654,-0.012297968490235072,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-24,2.42,0.051395158228313816,9.052949318528783e-05,-0.004115226337448763,-0.012347847081760737,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-25,2.39,0.050758028167632245,8.719443443963831e-05,-0.01239669421487588,-0.03683947217978622,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-26,2.3,0.04884663798558751,7.746841386682086e-05,-0.03765690376569042,-0.11154405249970874,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-27,2.26,0.047997131238012074,7.347022723893783e-05,-0.01739130434782621,-0.0516105394226411,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-28,2.24,0.047572377864224365,7.153434809986596e-05,-0.008849557522123686,-0.02634916498592108,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-29,2.24,0.047572377864224365,7.152165284548074e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-01-31,2.27,0.04820950792490594,7.43417934120554e-05,0.013392857142857206,0.03943058436677213,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-01,2.32,0.04927139135937523,7.91712987626382e-05,0.022026431718061623,0.06496353032289946,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-02,2.28,0.04842188461179979,7.512032897193318e-05,-0.017241379310344862,-0.051167150899598085,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-03,2.2,0.04672287111664893,6.731187556599025e-05,-0.03508771929824539,-0.10394594263372167,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-04,2.24,0.047572377864224365,7.091935219175745e-05,0.018181818181818077,0.05359346468113974,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-05,2.29,0.04863426129869366,7.558839543188093e-05,0.022321428571428603,0.06583595444440749,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-07,2.24,0.047572377864224365,7.06940804809561e-05,-0.02183406113537112,-0.06474955478232673,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-08,2.33,0.04948376804626909,7.908169945778527e-05,0.0401785714285714,0.11864669459967822,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-09,2.32,0.04927139135937523,7.806390368542621e-05,-0.0042918454935623185,-0.012870180829918285,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-10,2.33,0.04948376804626909,7.904516299595961e-05,0.004310344827586299,0.012569949287798214,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-11,2.32,0.04927139135937523,7.802783745447129e-05,-0.0042918454935623185,-0.012870180829918285,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-02-14,2.34,0.049696144733162945,8.00032970329588e-05,0.008620689655172376,0.025317369325277016,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
